Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cholesterol Biosynthetic Process (GO:0006695)	11/30	3.419164613115697E-11	4.53723144160453E-8	0	0	24.943301963518067	601.1096259358294	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Secondary Alcohol Biosynthetic Process (GO:1902653)	11/30	3.419164613115697E-11	4.53723144160453E-8	0	0	24.943301963518067	601.1096259358294	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Sterol Biosynthetic Process (GO:0016126)	11/32	7.744520230874984E-11	6.851318897580736E-8	0	0	22.565436770734784	525.3560991129867	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;LSS;TM7SF2;FDFT1
Cholesterol Metabolic Process (GO:0008203)	12/76	1.7058190948066973E-7	1.1318109694042437E-4	0	0	8.077433628318584	125.8791315391698	SQLE;NSDHL;MVK;HMGCS1;CYP51A1;SC5D;DHCR24;HSD17B7;APOB;LSS;TM7SF2;FDFT1
Positive Regulation of Cell Migration (GO:0030335)	22/349	2.442816995517722E-5	0.011671787577658431	0	0	2.9238656648262693	31.050791354098656	EPHA4;NRP1;TCAF2;DOCK5;NRP2;GRN;TGFB1;CSF1;HGF;FN1;ADAM10;CX3CL1;MTOR;APC;PLAU;MGAT5;TRIP6;PLCG2;CDH13;PTK2B;CCN1;EPHA2
Regulation of Cell-Matrix Adhesion (GO:0001952)	9/68	2.6386859632988163E-5	0.011671787577658431	0	0	6.529819333209164	68.84156331051022	MACF1;CSF1;PLAU;PTPRA;CDH13;PTK2B;NF2;CX3CL1;GPM6B
Phosphatidylinositol Metabolic Process (GO:0046488)	9/72	4.1992726166638655E-5	0.013931086905782373	0	0	6.113971742543171	61.616693680174066	FIG4;MTMR2;PIKFYVE;PLCL1;PITPNM2;PLCG2;PLEKHA3;PIK3C2A;PLCB1
Positive Regulation of Cell-Substrate Adhesion (GO:0010811)	9/72	4.1992726166638655E-5	0.013931086905782373	0	0	6.113971742543171	61.616693680174066	DOCK5;NRP1;CCDC80;CSF1;FGG;FN1;CDH13;PTK2B;CX3CL1
Neuron Remodeling (GO:0016322)	4/10	5.374514764614902E-5	0.015510203384842557	0	0	28.304347826086957	278.26732254651847	FARP2;APP;CX3CL1;RND1
Triglyceride Biosynthetic Process (GO:0019432)	5/19	5.844085676278281E-5	0.015510203384842557	0	0	15.189853719265484	148.06302789777374	GK;GPAM;TMEM68;LPIN1;PCK2
Axon Guidance (GO:0007411)	13/158	8.346634586667923E-5	0.018899360600282432	0	0	3.8547748298799602	36.200448893386174	EPHA4;NOTCH3;NRP1;NRP2;UNC5B;MYCBP2;PTPRM;UNC5C;EFNB2;EFNB1;KIF5C;SLIT2;NEO1
Lipid Biosynthetic Process (GO:0008610)	12/137	8.54530245679688E-5	0.018899360600282432	0	0	4.1226902654867255	38.619481443110104	BCKDK;PRKAA1;ACSS2;MVK;SPHK2;CYP51A1;DEGS1;MLYCD;LSS;FADS1;SELENOI;FDFT1
TRNA Wobble Position Uridine Thiolation (GO:0002143)	3/5	1.1982798633133206E-4	0.024463344286411944	0	0	63.55965292841648	573.9089172959274	MPST;TRMU;CTU1
Protein-containing Complex Assembly (GO:0065003)	20/339	1.4009682916344803E-4	0.02575935326337752	0	0	2.7135756446101276	24.078036285319893	FARP2;UVRAG;GPX4;MTX2;STXBP2;FGG;FN1;ADAM10;PIK3C2A;CX3CL1;DNM2;P2RX7;AFDN;PSMB5;APC;MDM2;PTK2B;DMD;FMOD;TP53
Phosphatidylinositol Biosynthetic Process (GO:0006661)	7/50	1.4577578535434195E-4	0.02575935326337752	0	0	6.943717876952827	61.33692103008376	FIG4;MTMR2;PIKFYVE;PITPNM2;PLCG2;PLEKHA3;PIK3C2A
Receptor Metabolic Process (GO:0043112)	5/23	1.5664359568496973E-4	0.02575935326337752	0	0	11.811909949164852	103.49049107275009	UVRAG;EHD3;TGFB1;LMTK2;PLEKHA3
Axonogenesis (GO:0007409)	15/216	1.664726553545424E-4	0.02575935326337752	0	0	3.2136090150583385	27.960582059489298	APP;EPHA4;NRP1;NOTCH3;NRP2;RAB3A;MYCBP2;UNC5C;EFNB2;EFNB1;ACTBL2;KIF5C;FAT4;SLIT2;NEO1
Regulation of Cell Migration (GO:0030334)	25/484	1.7840887293874146E-4	0.02575935326337752	0	0	2.3668617029195884	20.429407269020665	MACF1;GRN;CSF1;STC1;CX3CL1;AMOT;PLAU;MGAT5;EMILIN2;PTK2B;SLIT2;CCN1;ARSB;EPHA4;TCAF2;TGFB1;HGF;ADAM10;AFDN;APC;DLC1;TRIP6;CDH13;NF2;EPHA2
Positive Regulation of Glycolytic Process (GO:0045821)	5/24	1.9411720620480423E-4	0.02575935326337752	0	0	11.189657149409472	95.6385415222518	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Positive Regulation of Purine Nucleotide Catabolic Process (GO:0033123)	5/24	1.9411720620480423E-4	0.02575935326337752	0	0	11.189657149409472	95.6385415222518	P2RX7;APP;PFKFB4;PRKAA1;MTOR
Negative Regulation of Cell Adhesion (GO:0007162)	8/71	2.3373176075242955E-4	0.027456653960064924	0	0	5.422723475355054	45.34121529932907	EPHA4;ADAM10;CDH13;NF2;TGFBI;CX3CL1;RND1;EPHA2
Regulation of Mitochondrial Fusion (GO:0010635)	4/14	2.3794387380613914E-4	0.027456653960064924	0	0	16.979130434782608	141.6649628085891	TFRC;ADCK1;HUWE1;YME1L1
Motor Neuron Axon Guidance (GO:0008045)	4/14	2.3794387380613914E-4	0.027456653960064924	0	0	16.979130434782608	141.6649628085891	EPHA4;NRP1;NRP2;SLIT2
Phosphatidylethanolamine Metabolic Process (GO:0046337)	5/26	2.8915426707502466E-4	0.03197564270071314	0	0	10.122938064114535	82.48726915054468	CHKB;PLA2G6;LPIN1;SELENOI;PISD
Positive Regulation of Cell Motility (GO:2000147)	16/254	3.1012751890567976E-4	0.03292313740702696	0	0	2.895858343337335	23.39426979675054	EPHA4;TCAF2;GRN;TGFB1;CSF1;HGF;ADAM10;CX3CL1;APC;PLAU;MGAT5;TRIP6;CDH13;PTK2B;CCN1;EPHA2
Iron-sulfur Cluster Assembly (GO:0016226)	5/27	3.4815970012004756E-4	0.03422280904142986	0	0	9.662309368191721	76.93951314796027	NFS1;BOLA1;HSCB;ISCU;NUBP2
Metallo-sulfur Cluster Assembly (GO:0031163)	5/27	3.4815970012004756E-4	0.03422280904142986	0	0	9.662309368191721	76.93951314796027	NFS1;BOLA1;HSCB;ISCU;NUBP2
Cell-matrix Adhesion (GO:0007160)	10/116	3.7346233621458137E-4	0.03458275600188417	0	0	4.037486493225833	31.866642992010956	TIMM10B;MKLN1;BCAM;DLC1;TRIP6;FGG;ITGA1;FN1;NID2;CD44
Neuron Projection Guidance (GO:0097485)	11/138	3.808327113095389E-4	0.03458275600188417	0	0	3.711025360240566	29.2174606405126	EFNB2;EPHA4;NOTCH3;EFNB1;NRP1;NRP2;KIF5C;MYCBP2;UNC5C;SLIT2;NEO1
Retinal Ganglion Cell Axon Guidance (GO:0031290)	3/7	4.050648065763604E-4	0.03458275600188417	0	0	31.7765726681128	248.22153715234452	NRP1;PTPRM;SLIT2
Sprouting Angiogenesis (GO:0002040)	7/59	4.1622315501103647E-4	0.03458275600188417	0	0	5.739269483251978	44.676132370881845	EFNB2;NRP1;TGFB1;EHD4;CDH13;PTK2B;SLIT2
Regulation of Microglial Cell Activation (GO:1903978)	4/16	4.169736970837579E-4	0.03458275600188417	0	0	14.147826086956522	110.10527846699924	GRN;IL6;LDLR;CX3CL1
Positive Regulation of Tumor Necrosis Factor Production (GO:0032760)	9/98	4.5695285774744463E-4	0.03675008740793085	0	0	4.322089146808248	33.24088650082412	APP;IL6;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;TLR2
Regulation of Cellular Response to Growth Factor Stimulus (GO:0090287)	5/29	4.929754712217401E-4	0.03848108531242642	0	0	8.856209150326798	67.44048557984028	NRP1;TWSG1;FST;DMD;SLIT2
Regulation of Amyloid Fibril Formation (GO:1905906)	4/17	5.353304735696878E-4	0.03968296156419004	0	0	13.05886287625418	98.36753387355684	APP;HSPG2;CRYAB;LDLR
Lipid Metabolic Process (GO:0006629)	16/268	5.592931813587515E-4	0.03968296156419004	0	0	2.7329931972789114	20.46693988671046	GGT5;LIPT1;PRKAA1;ACSS2;GPX4;HMGCS1;DGKA;TEX2;HSPG2;BCKDK;FADS2;PCCA;THEM4;TPP1;LDLR;FADS1
Positive Regulation of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)	9/102	6.131702413405771E-4	0.03968296156419004	0	0	4.135342077277561	30.588579241642268	APP;IL6;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;TLR2
Regulation of Tumor Necrosis Factor Production (GO:0032680)	11/146	6.141820469998261E-4	0.03968296156419004	0	0	3.489673779740005	25.806902468845045	APP;IL6;ARG2;TGFB1;FRMD8;SPHK2;PLCG2;ADAM10;CD14;CX3CL1;TLR2
Axon Extension Involved in Axon Guidance (GO:0048846)	3/8	6.369510353786983E-4	0.03968296156419004	0	0	25.419956616052062	187.06082853214252	NRP1;NRP2;SLIT2
