Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DNA Replication (GO:0006260)	15/108	3.933906866193791E-9	8.288741767070318E-6	0	0	8.19388440860215	158.58142997871929	FEN1;RFC3;SET;RFC4;RFC2;TREX1;RPA1;POLA2;CDK2;CDK1;MCM3;MCM5;MCM6;ASCC3;MCM2
Collagen Biosynthetic Process (GO:0032964)	6/13	9.256295747096902E-8	9.751507569566586E-5	0	0	42.7350054525627	692.109515967038	COL1A1;COL5A1;PCOLCE;P3H3;PLOD1;TRAM2
DNA Repair (GO:0006281)	23/325	1.765946468099943E-7	1.1696114075448539E-4	0	0	3.9090196561927577	60.78294488275928	FEN1;RFC3;SET;PCNA;RFC4;ANP32A;PARP1;DTX3L;XRCC5;RFC2;TREX1;RPA1;HMGA1;HMGA2;PARP9;SMC1A;CDK7;RAD50;MTA1;CDK1;TRIP13;NBN;ASCC3
Regulation of Transferase Activity (GO:0051338)	7/23	2.2204298197339418E-7	1.1696114075448539E-4	0	0	21.858258928571427	334.87715776672803	PPP1R3F;RFC3;RFC4;SET;ANP32A;RFC2;NEK7
Response to Cytokine (GO:0034097)	14/143	1.0868008408686797E-6	3.863033585225511E-4	0	0	5.488935870331219	75.37556138115215	SP100;STAT1;ISG15;IFIT1;IFIT3;DDOST;PSMB10;PSMB8;IFIT2;BST2;KHSRP;ALDH1A2;DPYSL3;TRIM21
Post-translational Protein Modification (GO:0043687)	9/54	1.100057024743857E-6	3.863033585225511E-4	0	0	10.028717948717949	137.59549991041465	RPS6KA4;PARP1;CDK2;STT3A;ZC3HAV1;PARP9;PARP14;PARP12;SUMF1
Positive Regulation of mRNA Metabolic Process (GO:1903313)	5/12	2.1748395710111973E-6	6.546267108743704E-4	0	0	35.5221174764322	463.15710575669806	MOV10;CNOT1;TTC5;KHSRP;ZC3HAV1
DNA Strand Elongation (GO:0022616)	5/13	3.4762794095365134E-6	9.155650894866793E-4	0	0	31.080266497461928	390.66490070067516	RFC3;RAD50;RFC4;MCM3;NBN
DNA Metabolic Process (GO:0006259)	21/336	4.4094699571993865E-6	0.001032305911091012	0	0	3.401410934744268	41.945369930349564	FEN1;SP100;RFC3;SET;RFC4;PARP1;XRCC5;RFC2;TREX1;RPA1;SMC1A;POLA2;RAD50;CDK2;CDK1;MCM3;MCM5;NBN;MCM6;ASCC3;MCM2
Negative Regulation of Viral Process (GO:0048525)	9/67	7.038058097521309E-6	0.0014829188411477397	0	0	7.775729442970822	92.25264024609986	IFIH1;BST2;SP100;OAS2;STAT1;ISG15;ZC3HAV1;IFIT1;TRIM21
Defense Response to Virus (GO:0051607)	15/207	1.8733914713908718E-5	0.0035883962092914242	0	0	3.9487711588541665	42.98306531888485	ZBP1;RTP4;STAT1;STAT2;BNIP3;ISG15;IFIT1;IFIT3;IFIT2;BST2;IFIH1;MOV10;OAS2;DHX58;TRIM21
Base-excision Repair (GO:0006284)	7/45	2.8159389825739247E-5	0.004299502472431662	0	0	9.19313909774436	96.32230720106067	FEN1;SET;ANP32A;TREX1;HMGA1;RPA1;HMGA2
Regulation of DNA-templated DNA Replication Initiation (GO:0030174)	5/19	2.8451765282986252E-5	0.004299502472431662	0	0	17.754713560551124	185.843919479037	MCM3;MCM5;MCM6;NBN;MCM2
Protein poly-ADP-ribosylation (GO:0070212)	4/10	2.979243367548646E-5	0.004299502472431662	0	0	33.07172995780591	344.64896756691996	PARP1;ZC3HAV1;PARP14;PARP9
DNA-templated DNA Replication (GO:0006261)	8/62	3.085289598864283E-5	0.004299502472431662	0	0	7.406270720848726	76.92360100930986	RFC3;POLA2;RFC4;RFC2;MCM3;RPA1;MCM5;MCM2
