gene_name,T: Protein.Group,T: First.Protein.Description,log2FC_IF_vs_AL,pvalue_IF_vs_AL,log2FC_L-Carnitine_vs_AL,pvalue_L-Carnitine_vs_AL,log2FC_LPE_vs_AL,pvalue_LPE_vs_AL,log2FC_LPC_vs_AL,pvalue_LPC_vs_AL,ANOVA_p_PrimingEffect,ANOVA_p_TherapyEffect,ANOVA_p_InteractionEffect
Tbc1d25,A1A5B6,TBC1 domain family member 25,-0.42709999999999937,0.3311712558678557,0.12007499999999993,0.509542642505343,-1.2216000000000005,0.09985754283553752,-0.27072500000000055,0.21243394658375164,4.18586304738214e-17,1.902492559664149e-12,3.7804508529910405e-08
Mpeg1,A1L314,Macrophage-expressed gene 1 protein,-1.222525000000001,0.03462905694884108,-0.20190000000000197,0.47368049761095626,-0.10492500000000149,0.6685581837145472,-0.33695000000000164,0.21326589874419905,4.637225957083507e-22,7.836158727780286e-14,1.6359007948617711e-09
Cul4b,A2A432,Cullin-4B,0.21762500000000173,0.14403044499009407,0.05597500000000366,0.37314268305491205,0.0146000000000015,0.7659278602435348,0.08457500000000095,0.15361290769341046,1.602660346878578e-35,4.442843896791436e-29,1.2988089079959001e-25
Dhx8,A2A4P0,ATP-dependent RNA helicase DHX8,-0.12870000000000026,0.32543865074885087,-0.0740249999999989,0.4461992889247288,-0.367424999999999,0.09697191359715923,-0.34750000000000014,0.05487042449305989,3.689125341133854e-28,4.508064313779471e-22,7.4692756596434e-18
Arfgef2,A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,-0.2063250000000032,0.027369599434718356,-0.04189999999999827,0.545654970491788,-0.07584999999999908,0.29296544869458063,-0.01454999999999984,0.8329273058606864,7.846670794724388e-40,3.221364613311652e-34,1.2525011538004083e-29
Smurf2,A2A5Z6,E3 ubiquitin-protein ligase SMURF2,0.06199999999999939,0.4778273492311168,0.3516249999999985,0.04041876389182468,0.5602249999999991,0.0007529660434548462,0.6162749999999999,0.0028915690951440438,7.149536786152194e-30,1.0387148983767895e-24,7.055931834916245e-22
Tanc2,A2A690,Protein TANC2,-0.2777499999999993,0.6289271890106308,0.06370000000000253,0.7901025948292959,-0.40344999999999764,0.2399144272059748,-0.9240249999999985,0.1372367673695035,2.302256626188446e-17,1.0393133128254108e-12,1.4870978769794543e-08
Fam171a2,A2A699,Protein FAM171A2,-0.2603250000000017,0.139626497554814,0.07145000000000046,0.4933482086293731,-0.3963750000000008,0.09380831134574044,-0.35680000000000156,0.08424695396535634,8.415480230946636e-27,5.459832872292984e-21,7.387226276734282e-17
Gpatch8,A2A6A1,G patch domain-containing protein 8,0.03412499999999774,0.8505151764622473,-0.013424999999999798,0.9013224549319173,-0.1748750000000001,0.24288446211470563,-0.22584999999999944,0.2102047966147587,1.4082454828554968e-27,2.6166340561083416e-21,1.94271343777222e-17
Cdc27,A2A6Q5,Cell division cycle protein 27 homolog,-0.6422749999999979,0.003939579708931212,-0.29169999999999874,0.08015650492832602,-0.617424999999999,0.013308114959624731,-0.5421749999999985,0.007319527844155085,1.7352152039529071e-28,9.904659619040698e-24,5.133287159403957e-18
Cdr2l,A2A6T1,Cerebellar degeneration-related protein 2-like,0.3414999999999999,0.07820531417609129,0.06037500000000051,0.4913390620760717,-0.07587500000000347,0.32875589519374093,0.21177499999999938,0.08337303428362046,3.4862022968119615e-31,5.173043558579441e-25,1.1619057511192705e-21
Zmym4,A2A791,Zinc finger MYM-type protein 4,0.032125000000000625,0.8800690910918334,0.034475000000002254,0.5040717638869087,-0.28964999999999996,0.21147570534296056,-0.09394999999999953,0.4447391414110497,9.139389767012437e-26,4.0097901035150546e-20,2.641045645079607e-16
Rnf19b,A2A7Q9,E3 ubiquitin-protein ligase RNF19B,0.20637499999999953,0.42889796264108376,-0.04867499999999936,0.8094778045746696,-0.16384249999999945,0.6594989432369566,0.5279749999999996,0.26423305763758004,1.7386109770223844e-18,2.7217144822676596e-12,2.361881534741586e-09
Kiaa1522,A2A7S8,Uncharacterized protein KIAA1522,0.009050000000000225,0.9531343309012971,0.2767999999999997,0.06993121608160541,0.0625,0.7873470755784778,0.03167499999999812,0.7743327102621184,2.278919332570562e-27,3.8043776394082594e-21,9.587349600932811e-18
Fbf1,A2A870,Fas-binding factor 1,-0.12989999999999924,0.2963536944207551,-0.038874999999999105,0.6914732257913218,-0.8892999999999986,0.07805113762647282,-0.35360000000000014,0.20898889594759573,8.290850977998689e-20,2.6383543794819745e-13,6.391085730130519e-09
Ptprf,A2A8L5,Receptor-type tyrosine-protein phosphatase F,-1.0980500000000006,0.03126826676177158,-0.16087500000000077,0.4252333296545287,-0.9638749999999998,0.034315537649534766,-0.6544500000000006,0.003722513341196335,4.903760393460978e-20,6.157491773070985e-16,1.1415619281730491e-10
Tmem201,A2A8U2,Transmembrane protein 201,-0.21602499999999836,0.15619492748291613,-0.09829999999999828,0.6408465292430574,0.6858000000000004,0.04951525218514389,0.4341500000000007,0.09658485244948815,8.432649421218068e-24,1.0199792415203302e-16,1.0438692704350177e-13
